"sex","individual_treatment","nest_treatment","age","stress_series_type","bleed1_final_cort","avgC_capture_day"
"Female","Prev_Cort","Prev_Cort",12,"B_S",NA,21.1904761904762
"Male","Prev_Control","Prev_Control",12,"B_S",NA,22.3015873015873
"Female","Prev_Control","Prev_Control",12,"B_S",NA,22.3015873015873
"Male","Prev_Control","Prev_Control",12,"B_S",NA,15.3174603174603
"Male","Prev_Control","Prev_Control",12,"B_S",NA,15.3174603174603
"Male","Prev_Control","Prev_Control",12,"B_S",6.33,15.3174603174603
"Female","Prev_Control","Prev_Control",12,"B_S",1.34,15.7936507936508
"Female","Prev_Control","Prev_Control",12,"B_S",3.2,15.7936507936508
"Female","Prev_Cort","Prev_Cort",12,"B_S",0.48,21.5873015873016
"Female","long_control","Year2",12,"B_S",6.96,24.2063492063492
"Female","Cort","Cort",12,"B_S",2.56,21.7460317460317
"Female","Cold","Cold",12,"B_S",1.64,21.7460317460317
"Female","","",12,"B_S_D",3.09,13.7301587301587
"Male","","",12,"B_S_D",12.27,13.7301587301587
"Male","","",12,"B_S_D",NA,13.7301587301587
"Female","","",12,"B_S_D",42.41,14.047619047619
"Female","","",12,"B_S_D",24.64,14.047619047619
"Female","","",12,"B_S_D",60.33,14.047619047619
"Male","","",12,"B_S_D",1.64,17.5396825396825
"Male","","",12,"B_S_D",2.4,17.5396825396825
"Male","","",12,"B_S_D",2.5,17.5396825396825
"Male","","",12,"B_S_D",1.66,17.5396825396825
"Female","","",12,"B_S_D",3.08,17.5396825396825
"Male","","",12,"B_S_D",4.71,17.5396825396825
"Male","","",12,"B_S_D",9.03,17.5396825396825
"Male","","",12,"B_S_D",5.97,17.5396825396825
"Male","","",12,"B_S_D",12.63,18.1746031746032
"Female","","",12,"B_S_D",2.19,18.1746031746032
"Male","","",12,"B_S_D",4.29,18.1746031746032
"Male","","",12,"B_S_D",1.22,15.8730158730159
"Female","","",12,"B_S_D",2.32,15.8730158730159
"Male","","",12,"B_S_D",3.02,15.8730158730159
"Female","","",12,"B_S_D",2.97,15.8730158730159
"Female","","",12,"B_S_D",0.89,15.8730158730159
"Male","","",12,"B_S_D",2.35,15.8730158730159
"Male","","",12,"B_S_D",29.04,15.8730158730159
"Male","","",12,"B_S_D",15.8,15.8730158730159
"Female","","",12,"B_S_D",30.36,15.8730158730159
"Female","","",12,"B_S_D",3.01,15.8730158730159
"Female","","",12,"B_S_D",11.34,15.8730158730159
"Female","","",12,"B_S_D",3.71,15.8730158730159
"Female","","",12,"B_S_D",70.52,14.047619047619
"Male","","",12,"B_S_D",NA,13.7301587301587
"Male","","",12,"B_S_D",5.09,15.8730158730159
"Female","","",12,"B_S_D",10.27,15.8730158730159
"Female","","",12,"B_S_D",1.64,15.8730158730159
"Female","","",12,"B_S_D",2.77,15.8730158730159
"Male","","",12,"B_S_D",7.5,15.8730158730159
"Female","","",12,"B_S_D",70.68,15.8730158730159
"Female","","",12,"B_S_D",12.8,15.8730158730159
"Female","","",12,"B_S_D",0.63,15.8730158730159
"Male","","",12,"B_S_D",2.04,15.8730158730159
"Female","","",12,"B_S_D",1.6,15.8730158730159
"Male","","",12,"B_S_D",3.54,15.8730158730159
"Male","","",12,"B_S_D",1.76,15.8730158730159
"Female","","",12,"B_S_D",2.42,15.8730158730159
"Female","","",12,"B_S_D",2.66,23.4126984126984
"Female","","",12,"B_S_D",3.68,23.4126984126984
"Female","","",12,"B_S_D",2.58,23.4126984126984
"Female","","",12,"B_S_D",3.83,23.4126984126984
"Male","","",12,"B_S_D",1.67,23.4126984126984
"Female","","",12,"B_S_D",5.1,14.6825396825397
"Female","","",12,"B_S_D",2.37,14.6825396825397
"Female","","",12,"B_S_D",1.53,14.6825396825397
"Male","","",12,"B_S_D",1.45,14.6825396825397
"Male","","",12,"B_S_D",1.24,21.1904761904762
"Male","","",12,"B_S_D",2.56,21.1904761904762
"Female","","",12,"B_S_D",3.07,21.1904761904762
"Female","","",12,"B_S_D",5.2,23.8888888888889
"Male","","",12,"B_S_D",5.12,23.8888888888889
"Male","","",12,"B_S_D",1.88,23.8888888888889
"Male","","",12,"B_S_D",7.72,23.8888888888889
"Female","","",12,"B_S_D",5.92,23.8888888888889
"Male","","",12,"B_S_D",3.69,23.8888888888889
"Female","","",12,"B_S_D",3.78,23.8888888888889
"Male","","",12,"B_S_D",4.9,23.8888888888889
"Female","","",12,"B_S_D",2.2,23.4126984126984
"Male","","",12,"B_S_D",10.82,20.7142857142857
"Male","","",12,"B_S_D",4.29,20.7142857142857
"Male","","",12,"B_S_D",2.36,20.7142857142857
"Female","","",12,"B_S_D",11.05,20.7142857142857
"Female","","",12,"B_S_D",1.53,25.8730158730159
"Female","","",12,"B_S_D",18.92,25.8730158730159
"Female","","",12,"B_S_D",1.21,25.8730158730159
"Male","","",12,"B_S_D",7.1,13.7301587301587
"Female","","",12,"B_S_D",87.24,14.047619047619
"Female","","",12,"B_S_D",17.69,17.5396825396825
"Male","","",12,"B_S_D",13.71,18.1746031746032
"Male","","",12,"B_S_D",10.56,18.1746031746032
"Male","","",12,"B_S_D",5.6,18.1746031746032
"Male","","",12,"B_S_D",20.84,18.1746031746032
"Male","","",12,"B_S_D",23.27,18.1746031746032
"Female","","",12,"B_S_D",40.75,17.9365079365079
"Female","","",12,"B_S_D",14.71,17.9365079365079
"Female","","",12,"B_S_D",47.03,17.9365079365079
"Male","","",12,"B_S_D",16.66,17.9365079365079
"Female","","",12,"B_S_D",1.2,15.8730158730159
"Male","","",12,"B_S_D",36.51,17.9365079365079
"Female","","",12,"B_S_D",0.92,15.8730158730159
"Male","","",12,"B_S_D",1.01,15.8730158730159
"Female","","Pred",12,"B_S_D",43.08,12.3809523809524
"Female","","NonPred",12,"B_S_D",7.87,15.3174603174603
"Female","","NonPred",12,"B_S_D",4.41,15.3174603174603
"Male","","Cool",12,"B_S_D",4.62,18.968253968254
"Male","","Control",12,"B_S_D",5.66,14.9206349206349
"Male","","Cool",12,"B_S_D",1.47,21.5873015873016
"Female","Unknown","Heritability",12,"B_S_D",10.68,17.8571428571429
"Female","swap","Heritability",12,"B_S_D",4.73,17.8571428571429
"Female","swap","Heritability",12,"B_S_D",9.26,17.8571428571429
"Male","swap","Heritability",12,"B_S_D",1.53,21.3492063492064
"Male","unswap","Heritability",12,"B_S_D",3.54,21.3492063492064
"Female","unswap","Heritability",12,"B_S_D",2.41,21.3492063492064
"Female","swap","Heritability",12,"B_S_D",6.92,19.7619047619048
"Male","unswap","Heritability",12,"B_S_D",4.65,19.7619047619048
"Male","unswap","Heritability",12,"B_S_D",1.73,19.7619047619048
"Male","unswap","Heritability",12,"B_S_D",2.59,19.7619047619048
"Female","unknown","Heritability",12,"B_S_D",1.08,19.7619047619048
"Male","","Low_Unknown",12,"B_S_D",19.39,21.984126984127
"Male","","Low_Unknown",12,"B_S_D",1.81,21.984126984127
"Male","","Low_Unknown",12,"B_S_D",4.43,21.984126984127
"Male","","Low_Unknown",12,"B_S_D",3.54,21.984126984127
"Female","","Low_Unknown",12,"B_S_D",4.19,21.984126984127
"Female","","High",12,"B_S_D",2.95,21.984126984127
"Male","","High",12,"B_S_D",1.68,21.984126984127
"Female","","High",12,"B_S_D",1.34,21.984126984127
"Female","","High",12,"B_S_D",4.41,21.984126984127
"Female","","High",12,"B_S_D",11.55,21.984126984127
"Male","","High",12,"B_S_D",2.97,21.984126984127
"Male","unswap","Heritability",12,"B_S_D",2.98,21.984126984127
"Male","unknown","Heritability",12,"B_S_D",NA,21.984126984127
"Female","swap","Heritability",12,"B_S_D",2.53,21.984126984127
"Male","","High",12,"B_S_D",5.64,21.984126984127
