Individual Treatment + Year ,Count,Nest Treatment + Year ,Count
_2013,160,_2013,141
_2014,229,_2014,3
_2015,316,_2015,20
_2018,235,_2017,2
_2019,26,_2018,272
_2020,25,_2019,21
_NA,18,_2020,56
ACTH_Control_2018,19,_NA,18
ACTH_Treatment_2018,23,AdultCortValid_Control_2015,22
Cold_2022,26,AdultCortValid_High_2015,32
Cold_2023,40,AdultCortValid_Low_2015,39
Cold_2024,27,Buffer_2014,15
Cold_Cold_2021,16,Buffer_2015,10
Cold_Control_2021,15,Cold_2022,26
Color_Dull_2017,22,Cold_2023,40
Color_Sham_2017,17,Cold_2024,27
Control_2022,26,Cold_Cold_2021,16
Control_2023,40,Cold_Control_2021,15
Control_2024,39,Color_Dull_2017,22
Control_Control_2019,50,Color_Sham_2017,15
Control_Dull_2019,43,Cont_Con_2019,56
Control30_2015,19,Cont_Dul_2019,47
Control60_2015,9,Control_2013,10
CORT_2014,13,Control_2014,39
cort_2015,32,Control_2015,49
Cort_2022,18,Control_2020,9
Cort_2023,34,Control_2022,26
Cort_2024,34,Control_2023,40
CORT_XFoster_2017,2,Control_2024,39
DMSO_2014,13,Control_Cool_2014,10
dmso_2015,31,Cool_2013,9
DMSO_6d_2017,1,Cool_2014,28
DMSO_XFoster_2017,4,CORT_2015,2
Egg_CORT_2016,14,Cort_2020,16
High30_2015,22,Cort_2022,18
High60_2015,15,Cort_2023,34
LaidNonPredHatchNonPred_2015,24,Cort_2024,34
LaidNonPredHatchPred_2015,21,CORT_XFoster_2017,2
LaidPredHatchNonPred_2015,23,DMSO_2015,33
LaidPredHatchPred_2015,22,DMSO_XFoster_2017,5
LaidUnknownHatchNonPred_2015,8,Dull_Control_2018,5
LaidUnknownHatchPred_2015,10,Egg_CORT_2016,14
LaidUnknownHatchUnknown_2015,1,Heritability_2014,96
Light_2019,46,High_2014,17
Light_Control_2019,61,High_2015,39
long_control_2023,3,High_Control_2014,12
low30_2015,18,Light_2019,52
low60_2015,21,Light_Control_2019,55
oral_antibiotic_2020,14,long_2015,4
oral_control_2020,13,Long_2015,34
Predator_2016,3,Low_2014,14
Predator_Control_2019,34,Low_2015,51
Predator_Dull_2019,34,Low_Cool_2014,5
Prev_Control_2021,62,Low_Unknown_2014,9
Prev_Cort_2021,62,NonPred_2014,52
swap_2014,28,NonPred_2015,82
transdermal_antibiotic_2020,15,Pred_2014,25
transdermal_control_2020,14,Pred_2015,105
unknown_2014,17,Pred_Con_2019,28
Unknown_2014,6,Pred_Dul_2019,35
Unknown_2015,28,Predator_2016,3
unswap_2014,45,Prev_Control_2021,62
Year2_2023,78,Prev_Cort_2021,62
Year2_2024,52,TeresaNestlingCort_2014,26
,,TeresaNestlingCort_2015,73
,,Unknown_2015,12
,,Unknown_TeresaNestlingCort_2015,13
,,Year2_2023,81
,,Year2_2024,52
