ID	experiment	individual_or_nest	treatment	manip_after_first_cap	manip_before_first_cap	description	first_year	last_year	major_effect	kelly_excludes	treatment_notes
368	Novel	Nest	Novel				2013	2013			From Access db nest table 2013-2023.
369	Peltier	Nest	Control				2013	2015			From Access db nest table 2013-2023.
370	Peltier	Nest	Cool				2013	2015		Yes	From Access db nest table 2013-2023.
371	Peltier_Novel	Nest	Control_Novel				2013	2013			From Access db nest table 2013-2023.
372	Predation	Nest	Buffer				2013	2015			From Access db nest table 2013-2023.
373	Predation	Nest	NonPred				2013	2015			From Access db nest table 2013-2023.
374	Predation	Nest	Pred				2013	2015			From Access db nest table 2013-2023.
375	RespTS	Individual	RespTS				2013	2013			From Access db encounter table 2013-2023.
376	RespTS	Nest	RespTS				2013	2013			From Access db nest table 2013-2023.
377	TelomeresAB	Nest	BSControl				2013	2013			From Access db nest table 2013-2023.
378	TelomeresAB	Nest	BSEnl				2013	2014		Yes	From Access db nest table 2013-2023.
379	TelomeresAB	Nest	BSRed				2013	2014		Yes	From Access db nest table 2013-2023.
380	TelomeresAB	Nest	Transfer				2013	2014		Yes	From Access db nest table 2013-2023.
381	TelomeresAB	Nest	Unknown				2013	2014			From Access db nest table 2013-2023.
382	TelomeresAB	Nest					2013	2013			From Access db nest table 2013-2023.
383		Individual	BLOODT.AB RFIDON				2013	2013			"From FoxPro adult encounters table. If listed as Major effect, that is from Kelly Hallinger's classification."
384		Nest	COOL*CORT*RFID				2013	2013		Yes	"From FoxPro nests table. If listed as Major effect, that is from Kelly Hallinger's classification. Note that many of these are repeats of individual treatments and many are combinations."
385		Nest	COOL*RFID*CORT				2013	2013		Yes	"From FoxPro nests table. If listed as Major effect, that is from Kelly Hallinger's classification. Note that many of these are repeats of individual treatments and many are combinations."
386		Individual	CORT				2013	2015			"From FoxPro adult encounters table. If listed as Major effect, that is from Kelly Hallinger's classification."
387		Nest	CORT				2013	2015			"From FoxPro nests table. If listed as Major effect, that is from Kelly Hallinger's classification. Note that many of these are repeats of individual treatments and many are combinations."
388		Individual	CORT RFIDON				2013	2013			"From FoxPro adult encounters table. If listed as Major effect, that is from Kelly Hallinger's classification."
389		Nest	CORT*NOVEL				2013	2013			"From FoxPro nests table. If listed as Major effect, that is from Kelly Hallinger's classification. Note that many of these are repeats of individual treatments and many are combinations."
390		Nest	CORT*RFID				2013	2013			"From FoxPro nests table. If listed as Major effect, that is from Kelly Hallinger's classification. Note that many of these are repeats of individual treatments and many are combinations."
391		Individual	CORT*RFIDON				2013	2015			"From FoxPro adult encounters table. If listed as Major effect, that is from Kelly Hallinger's classification."
392		Nest	NOVEL				2013	2013			"From FoxPro nests table. If listed as Major effect, that is from Kelly Hallinger's classification. Note that many of these are repeats of individual treatments and many are combinations."
